DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Mean Usual Hours Worked Per Week,41.4,41.6,41.9,42.2,42.4,42.8,42.9,43,43.2,43.4,44.2,44.3,45.3,45.6,45.9,46.6
Percentage Of Workers Who Usually Worked At Least 40 Hours Per Week,na,82.6,83.8,83.2,83.5,82.9,83.6,83.6,84.3,84.7,84.8,85.6,87.1,87.4,87.3,88.3
