period,series,unit,value
1997,25 - 29 Years,Per Cent,80.7
1998,25 - 29 Years,Per Cent,80
1999,25 - 29 Years,Per Cent,80.8
2000,25 - 29 Years,Per Cent,82.1
2001,25 - 29 Years,Per Cent,82.9
2002,25 - 29 Years,Per Cent,82.4
2003,25 - 29 Years,Per Cent,84.1
2004,25 - 29 Years,Per Cent,83.8
2005,25 - 29 Years,Per Cent,84.7
2006,25 - 29 Years,Per Cent,84.5
2007,25 - 29 Years,Per Cent,86.9
2008,25 - 29 Years,Per Cent,84.5
2009,25 - 29 Years,Per Cent,85.5
2010,25 - 29 Years,Per Cent,85.7
2011,25 - 29 Years,Per Cent,86.7
2012,25 - 29 Years,Per Cent,86.8
2013,25 - 29 Years,Per Cent,88
2014,25 - 29 Years,Per Cent,88.6
2015,25 - 29 Years,Per Cent,89.7
2016,25 - 29 Years,Per Cent,90.6
2017,25 - 29 Years,Per Cent,89.6
2018,25 - 29 Years,Per Cent,89.4
2019,25 - 29 Years,Per Cent,90.1
2020,25 - 29 Years,Per Cent,91.1
2021,25 - 29 Years,Per Cent,90.5
2022,25 - 29 Years,Per Cent,91.1
2023,25 - 29 Years,Per Cent,90.7
2024,25 - 29 Years,Per Cent,93
2025,25 - 29 Years,Per Cent,93
1990,30 - 34 Years,Per Cent,62.3
1991,30 - 34 Years,Per Cent,60
1992,30 - 34 Years,Per Cent,62.7
1993,30 - 34 Years,Per Cent,62.1
1994,30 - 34 Years,Per Cent,62.5
1995,30 - 34 Years,Per Cent,61.4
1996,30 - 34 Years,Per Cent,66.7
1997,30 - 34 Years,Per Cent,66.6
1998,30 - 34 Years,Per Cent,68.2
1999,30 - 34 Years,Per Cent,69.3
2000,30 - 34 Years,Per Cent,70.7
2001,30 - 34 Years,Per Cent,71.4
2002,30 - 34 Years,Per Cent,72.2
2003,30 - 34 Years,Per Cent,74.4
2004,30 - 34 Years,Per Cent,74.6
2005,30 - 34 Years,Per Cent,76.8
2006,30 - 34 Years,Per Cent,77.7
2007,30 - 34 Years,Per Cent,78.6
2008,30 - 34 Years,Per Cent,80.5
2009,30 - 34 Years,Per Cent,79.9
2010,30 - 34 Years,Per Cent,81.3
2011,30 - 34 Years,Per Cent,81
2012,30 - 34 Years,Per Cent,83.3
2013,30 - 34 Years,Per Cent,83.7
2014,30 - 34 Years,Per Cent,83.3
2015,30 - 34 Years,Per Cent,83.9
2016,30 - 34 Years,Per Cent,85.3
2017,30 - 34 Years,Per Cent,86.9
2018,30 - 34 Years,Per Cent,84.9
2019,30 - 34 Years,Per Cent,88.3
2020,30 - 34 Years,Per Cent,88.2
2021,30 - 34 Years,Per Cent,90.1
2022,30 - 34 Years,Per Cent,90
2023,30 - 34 Years,Per Cent,90.8
2024,30 - 34 Years,Per Cent,92
2025,30 - 34 Years,Per Cent,90.6
1990,35 - 39 Years,Per Cent,55.7
1991,35 - 39 Years,Per Cent,55.3
1992,35 - 39 Years,Per Cent,55.8
1993,35 - 39 Years,Per Cent,56.4
1994,35 - 39 Years,Per Cent,57.2
1995,35 - 39 Years,Per Cent,56.4
1996,35 - 39 Years,Per Cent,59.8
1997,35 - 39 Years,Per Cent,58.5
1998,35 - 39 Years,Per Cent,61.5
1999,35 - 39 Years,Per Cent,59.8
2000,35 - 39 Years,Per Cent,61.6
2001,35 - 39 Years,Per Cent,62.6
2002,35 - 39 Years,Per Cent,62.2
2003,35 - 39 Years,Per Cent,65.5
2004,35 - 39 Years,Per Cent,67.4
2005,35 - 39 Years,Per Cent,69
2006,35 - 39 Years,Per Cent,70.4
2007,35 - 39 Years,Per Cent,71.7
2008,35 - 39 Years,Per Cent,74.4
2009,35 - 39 Years,Per Cent,75.5
2010,35 - 39 Years,Per Cent,75.2
2011,35 - 39 Years,Per Cent,77.6
2012,35 - 39 Years,Per Cent,78.9
2013,35 - 39 Years,Per Cent,79.4
2014,35 - 39 Years,Per Cent,80.9
2015,35 - 39 Years,Per Cent,81.7
2016,35 - 39 Years,Per Cent,82.3
2017,35 - 39 Years,Per Cent,82.9
2018,35 - 39 Years,Per Cent,81.8
2019,35 - 39 Years,Per Cent,82.7
2020,35 - 39 Years,Per Cent,84.4
2021,35 - 39 Years,Per Cent,85.4
2022,35 - 39 Years,Per Cent,86
2023,35 - 39 Years,Per Cent,87.9
2024,35 - 39 Years,Per Cent,88.3
2025,35 - 39 Years,Per Cent,90.3
1990,40 - 44 Years,Per Cent,53.3
1991,40 - 44 Years,Per Cent,53.8
1992,40 - 44 Years,Per Cent,54.3
1993,40 - 44 Years,Per Cent,54.1
1994,40 - 44 Years,Per Cent,54.3
1995,40 - 44 Years,Per Cent,54
1996,40 - 44 Years,Per Cent,56.5
1997,40 - 44 Years,Per Cent,57.6
1998,40 - 44 Years,Per Cent,59.5
1999,40 - 44 Years,Per Cent,60.1
2000,40 - 44 Years,Per Cent,60
2001,40 - 44 Years,Per Cent,61.9
2002,40 - 44 Years,Per Cent,62.1
2003,40 - 44 Years,Per Cent,62.7
2004,40 - 44 Years,Per Cent,63.9
2005,40 - 44 Years,Per Cent,65.6
2006,40 - 44 Years,Per Cent,67.7
2007,40 - 44 Years,Per Cent,69.1
2008,40 - 44 Years,Per Cent,69.9
2009,40 - 44 Years,Per Cent,71.3
2010,40 - 44 Years,Per Cent,72.7
2011,40 - 44 Years,Per Cent,73.9
2012,40 - 44 Years,Per Cent,74.8
2013,40 - 44 Years,Per Cent,75.4
2014,40 - 44 Years,Per Cent,78.1
2015,40 - 44 Years,Per Cent,78.9
2016,40 - 44 Years,Per Cent,80.2
2017,40 - 44 Years,Per Cent,78.9
2018,40 - 44 Years,Per Cent,81
2019,40 - 44 Years,Per Cent,81.2
2020,40 - 44 Years,Per Cent,81.4
2021,40 - 44 Years,Per Cent,84.7
2022,40 - 44 Years,Per Cent,83.2
2023,40 - 44 Years,Per Cent,84.6
2024,40 - 44 Years,Per Cent,86.2
2025,40 - 44 Years,Per Cent,85.7
1990,45 - 49 Years,Per Cent,45.7
1991,45 - 49 Years,Per Cent,46.1
1992,45 - 49 Years,Per Cent,47.6
1993,45 - 49 Years,Per Cent,49.4
1994,45 - 49 Years,Per Cent,50.2
1995,45 - 49 Years,Per Cent,51.5
1996,45 - 49 Years,Per Cent,54.1
1997,45 - 49 Years,Per Cent,55.1
1998,45 - 49 Years,Per Cent,55.8
1999,45 - 49 Years,Per Cent,59.6
2000,45 - 49 Years,Per Cent,57.5
2001,45 - 49 Years,Per Cent,60.8
2002,45 - 49 Years,Per Cent,59.8
2003,45 - 49 Years,Per Cent,58.9
2004,45 - 49 Years,Per Cent,61.7
2005,45 - 49 Years,Per Cent,62.7
2006,45 - 49 Years,Per Cent,66.2
2007,45 - 49 Years,Per Cent,65.7
2008,45 - 49 Years,Per Cent,68.7
2009,45 - 49 Years,Per Cent,67.9
2010,45 - 49 Years,Per Cent,68.9
2011,45 - 49 Years,Per Cent,71.5
2012,45 - 49 Years,Per Cent,73.4
2013,45 - 49 Years,Per Cent,73.1
2014,45 - 49 Years,Per Cent,73.7
2015,45 - 49 Years,Per Cent,75.5
2016,45 - 49 Years,Per Cent,77.2
2017,45 - 49 Years,Per Cent,77.7
2018,45 - 49 Years,Per Cent,78.1
2019,45 - 49 Years,Per Cent,80.3
2020,45 - 49 Years,Per Cent,78.8
2021,45 - 49 Years,Per Cent,80.6
2022,45 - 49 Years,Per Cent,82.7
2023,45 - 49 Years,Per Cent,82.3
2024,45 - 49 Years,Per Cent,82.5
2025,45 - 49 Years,Per Cent,81.7
1990,50 - 54 Years,Per Cent,35.5
1991,50 - 54 Years,Per Cent,33.8
1992,50 - 54 Years,Per Cent,36.5
1993,50 - 54 Years,Per Cent,37.1
1994,50 - 54 Years,Per Cent,38.3
1995,50 - 54 Years,Per Cent,38.1
1996,50 - 54 Years,Per Cent,44.3
1997,50 - 54 Years,Per Cent,44.9
1998,50 - 54 Years,Per Cent,46.5
1999,50 - 54 Years,Per Cent,46.7
2000,50 - 54 Years,Per Cent,47.3
2001,50 - 54 Years,Per Cent,51.2
2002,50 - 54 Years,Per Cent,51.8
2003,50 - 54 Years,Per Cent,54.1
2004,50 - 54 Years,Per Cent,52.9
2005,50 - 54 Years,Per Cent,54
2006,50 - 54 Years,Per Cent,59.5
2007,50 - 54 Years,Per Cent,60.5
2008,50 - 54 Years,Per Cent,62
2009,50 - 54 Years,Per Cent,63
2010,50 - 54 Years,Per Cent,64.9
2011,50 - 54 Years,Per Cent,66.1
2012,50 - 54 Years,Per Cent,65.6
2013,50 - 54 Years,Per Cent,66.5
2014,50 - 54 Years,Per Cent,70.4
2015,50 - 54 Years,Per Cent,70.6
2016,50 - 54 Years,Per Cent,70.3
2017,50 - 54 Years,Per Cent,71.2
2018,50 - 54 Years,Per Cent,71.5
2019,50 - 54 Years,Per Cent,71.3
2020,50 - 54 Years,Per Cent,71.6
2021,50 - 54 Years,Per Cent,76.2
2022,50 - 54 Years,Per Cent,75.2
2023,50 - 54 Years,Per Cent,75.5
2024,50 - 54 Years,Per Cent,79.8
2025,50 - 54 Years,Per Cent,78.6
1990,55 - 59 Years,Per Cent,22.4
1991,55 - 59 Years,Per Cent,21
1992,55 - 59 Years,Per Cent,22.5
1993,55 - 59 Years,Per Cent,23.8
1994,55 - 59 Years,Per Cent,26.1
1995,55 - 59 Years,Per Cent,25.9
1996,55 - 59 Years,Per Cent,28.8
1997,55 - 59 Years,Per Cent,27.2
1998,55 - 59 Years,Per Cent,30.4
1999,55 - 59 Years,Per Cent,32.4
2000,55 - 59 Years,Per Cent,31
2001,55 - 59 Years,Per Cent,37.7
2002,55 - 59 Years,Per Cent,38.8
2003,55 - 59 Years,Per Cent,36.2
2004,55 - 59 Years,Per Cent,40.1
2005,55 - 59 Years,Per Cent,39.4
2006,55 - 59 Years,Per Cent,44.7
2007,55 - 59 Years,Per Cent,46.9
2008,55 - 59 Years,Per Cent,48
2009,55 - 59 Years,Per Cent,49.5
2010,55 - 59 Years,Per Cent,51.7
2011,55 - 59 Years,Per Cent,55.1
2012,55 - 59 Years,Per Cent,56.2
2013,55 - 59 Years,Per Cent,59.1
2014,55 - 59 Years,Per Cent,61.4
2015,55 - 59 Years,Per Cent,62.8
2016,55 - 59 Years,Per Cent,63.1
2017,55 - 59 Years,Per Cent,61.8
2018,55 - 59 Years,Per Cent,62.1
2019,55 - 59 Years,Per Cent,63.3
2020,55 - 59 Years,Per Cent,64.8
2021,55 - 59 Years,Per Cent,66.6
2022,55 - 59 Years,Per Cent,67.1
2023,55 - 59 Years,Per Cent,66.6
2024,55 - 59 Years,Per Cent,67.7
2025,55 - 59 Years,Per Cent,69
1990,60 - 64 Years,Per Cent,13.9
1991,60 - 64 Years,Per Cent,12.4
1992,60 - 64 Years,Per Cent,12.5
1993,60 - 64 Years,Per Cent,10.6
1994,60 - 64 Years,Per Cent,12.9
1995,60 - 64 Years,Per Cent,11.7
1996,60 - 64 Years,Per Cent,14.9
1997,60 - 64 Years,Per Cent,15.4
1998,60 - 64 Years,Per Cent,13.9
1999,60 - 64 Years,Per Cent,19.4
2000,60 - 64 Years,Per Cent,16.3
2001,60 - 64 Years,Per Cent,18.6
2002,60 - 64 Years,Per Cent,19
2003,60 - 64 Years,Per Cent,18.9
2004,60 - 64 Years,Per Cent,18.4
2005,60 - 64 Years,Per Cent,21.3
2006,60 - 64 Years,Per Cent,26.2
2007,60 - 64 Years,Per Cent,29.2
2008,60 - 64 Years,Per Cent,33.1
2009,60 - 64 Years,Per Cent,33
2010,60 - 64 Years,Per Cent,35.4
2011,60 - 64 Years,Per Cent,38.4
2012,60 - 64 Years,Per Cent,41.7
2013,60 - 64 Years,Per Cent,44.2
2014,60 - 64 Years,Per Cent,45.5
2015,60 - 64 Years,Per Cent,47.7
2016,60 - 64 Years,Per Cent,48.8
2017,60 - 64 Years,Per Cent,49.9
2018,60 - 64 Years,Per Cent,49.4
2019,60 - 64 Years,Per Cent,50.8
2020,60 - 64 Years,Per Cent,52.6
2021,60 - 64 Years,Per Cent,53.6
2022,60 - 64 Years,Per Cent,56.1
2023,60 - 64 Years,Per Cent,55.2
2024,60 - 64 Years,Per Cent,57.7
2025,60 - 64 Years,Per Cent,58
1990,65 - 69 Years,Per Cent,9.9
1991,65 - 69 Years,Per Cent,6.3
1992,65 - 69 Years,Per Cent,7.3
1993,65 - 69 Years,Per Cent,6.4
1994,65 - 69 Years,Per Cent,8
1995,65 - 69 Years,Per Cent,6.8
1996,65 - 69 Years,Per Cent,8.8
1997,65 - 69 Years,Per Cent,8.8
1998,65 - 69 Years,Per Cent,8.2
1999,65 - 69 Years,Per Cent,9.1
2000,65 - 69 Years,Per Cent,7.9
2001,65 - 69 Years,Per Cent,9.5
2002,65 - 69 Years,Per Cent,8
2003,65 - 69 Years,Per Cent,9.6
2004,65 - 69 Years,Per Cent,9.7
2005,65 - 69 Years,Per Cent,10.4
2006,65 - 69 Years,Per Cent,15.6
2007,65 - 69 Years,Per Cent,15.6
2008,65 - 69 Years,Per Cent,16.6
2009,65 - 69 Years,Per Cent,17.7
2010,65 - 69 Years,Per Cent,19.1
2011,65 - 69 Years,Per Cent,23.9
2012,65 - 69 Years,Per Cent,26.3
2013,65 - 69 Years,Per Cent,27.9
2014,65 - 69 Years,Per Cent,29.5
2015,65 - 69 Years,Per Cent,31.1
2016,65 - 69 Years,Per Cent,31.4
2017,65 - 69 Years,Per Cent,32.9
2018,65 - 69 Years,Per Cent,33.7
2019,65 - 69 Years,Per Cent,35.3
2020,65 - 69 Years,Per Cent,38.2
2021,65 - 69 Years,Per Cent,40.6
2022,65 - 69 Years,Per Cent,39.4
2023,65 - 69 Years,Per Cent,39
2024,65 - 69 Years,Per Cent,41.1
2025,65 - 69 Years,Per Cent,41
1990,70 - 74 Years,Per Cent,6.4
1991,70 - 74 Years,Per Cent,4.3
1992,70 - 74 Years,Per Cent,5.4
1993,70 - 74 Years,Per Cent,3.4
1994,70 - 74 Years,Per Cent,4.8
1995,70 - 74 Years,Per Cent,4
1996,70 - 74 Years,Per Cent,5.2
1997,70 - 74 Years,Per Cent,5.1
1998,70 - 74 Years,Per Cent,3.7
1999,70 - 74 Years,Per Cent,4.4
2000,70 - 74 Years,Per Cent,3.8
2001,70 - 74 Years,Per Cent,4.5
2002,70 - 74 Years,Per Cent,4.9
2003,70 - 74 Years,Per Cent,4.3
2004,70 - 74 Years,Per Cent,4.8
2005,70 - 74 Years,Per Cent,4.5
2006,70 - 74 Years,Per Cent,7.7
2007,70 - 74 Years,Per Cent,6.4
2008,70 - 74 Years,Per Cent,7.9
2009,70 - 74 Years,Per Cent,9.3
2010,70 - 74 Years,Per Cent,11.3
2011,70 - 74 Years,Per Cent,11.3
2012,70 - 74 Years,Per Cent,13.4
2013,70 - 74 Years,Per Cent,14.1
2014,70 - 74 Years,Per Cent,15.6
2015,70 - 74 Years,Per Cent,16.5
2016,70 - 74 Years,Per Cent,19.3
2017,70 - 74 Years,Per Cent,18.1
2018,70 - 74 Years,Per Cent,20.3
2019,70 - 74 Years,Per Cent,20.4
2020,70 - 74 Years,Per Cent,21.9
2021,70 - 74 Years,Per Cent,22.7
2022,70 - 74 Years,Per Cent,24.8
2023,70 - 74 Years,Per Cent,25.4
2024,70 - 74 Years,Per Cent,27.7
2025,70 - 74 Years,Per Cent,26.9
1990,75 Years & Over,Per Cent,2.9
1991,75 Years & Over,Per Cent,1.9
1992,75 Years & Over,Per Cent,1.1
1993,75 Years & Over,Per Cent,1.9
1994,75 Years & Over,Per Cent,1.5
1995,75 Years & Over,Per Cent,1.5
1996,75 Years & Over,Per Cent,1.6
1997,75 Years & Over,Per Cent,1.5
1998,75 Years & Over,Per Cent,1.4
1999,75 Years & Over,Per Cent,1.5
2000,75 Years & Over,Per Cent,1.2
2001,75 Years & Over,Per Cent,1.5
2002,75 Years & Over,Per Cent,1.7
2003,75 Years & Over,Per Cent,1.1
2004,75 Years & Over,Per Cent,1
2005,75 Years & Over,Per Cent,1.2
2006,75 Years & Over,Per Cent,2
2007,75 Years & Over,Per Cent,2.7
2008,75 Years & Over,Per Cent,2.7
2009,75 Years & Over,Per Cent,2.4
2010,75 Years & Over,Per Cent,2.7
2011,75 Years & Over,Per Cent,3.3
2012,75 Years & Over,Per Cent,3.4
2013,75 Years & Over,Per Cent,4.2
2014,75 Years & Over,Per Cent,4.7
2015,75 Years & Over,Per Cent,5.5
2016,75 Years & Over,Per Cent,5.1
2017,75 Years & Over,Per Cent,5
2018,75 Years & Over,Per Cent,6.1
2019,75 Years & Over,Per Cent,5.8
2020,75 Years & Over,Per Cent,7
2021,75 Years & Over,Per Cent,7.9
2022,75 Years & Over,Per Cent,8.7
2023,75 Years & Over,Per Cent,7.9
2024,75 Years & Over,Per Cent,10.4
2025,75 Years & Over,Per Cent,11.1
1990,65 Years & Over,Per Cent,6.2
1991,65 Years & Over,Per Cent,4.1
1992,65 Years & Over,Per Cent,4.5
1993,65 Years & Over,Per Cent,4
1994,65 Years & Over,Per Cent,4.8
1995,65 Years & Over,Per Cent,4.1
1996,65 Years & Over,Per Cent,5.1
1997,65 Years & Over,Per Cent,5.1
1998,65 Years & Over,Per Cent,4.4
1999,65 Years & Over,Per Cent,5
2000,65 Years & Over,Per Cent,4.3
2001,65 Years & Over,Per Cent,5
2002,65 Years & Over,Per Cent,4.7
2003,65 Years & Over,Per Cent,5
2004,65 Years & Over,Per Cent,5.1
2005,65 Years & Over,Per Cent,5.3
2006,65 Years & Over,Per Cent,8.3
2007,65 Years & Over,Per Cent,8
2008,65 Years & Over,Per Cent,8.9
2009,65 Years & Over,Per Cent,9.3
2010,65 Years & Over,Per Cent,10
2011,65 Years & Over,Per Cent,11.9
2012,65 Years & Over,Per Cent,13.7
2013,65 Years & Over,Per Cent,14.8
2014,65 Years & Over,Per Cent,16.3
2015,65 Years & Over,Per Cent,17.6
2016,65 Years & Over,Per Cent,18
2017,65 Years & Over,Per Cent,18.2
2018,65 Years & Over,Per Cent,19.2
2019,65 Years & Over,Per Cent,20.2
2020,65 Years & Over,Per Cent,21.7
2021,65 Years & Over,Per Cent,24.2
2022,65 Years & Over,Per Cent,24
2023,65 Years & Over,Per Cent,23.2
2024,65 Years & Over,Per Cent,25.4
2025,65 Years & Over,Per Cent,25.3
2000,15 - 24 Years,Per Cent,40
2001,15 - 24 Years,Per Cent,40.4
2002,15 - 24 Years,Per Cent,36.4
2003,15 - 24 Years,Per Cent,37.1
2004,15 - 24 Years,Per Cent,37
2005,15 - 24 Years,Per Cent,34
2006,15 - 24 Years,Per Cent,38.7
2007,15 - 24 Years,Per Cent,35.7
2008,15 - 24 Years,Per Cent,36.7
2009,15 - 24 Years,Per Cent,33.7
2010,15 - 24 Years,Per Cent,37.5
2011,15 - 24 Years,Per Cent,35.7
2012,15 - 24 Years,Per Cent,36.4
2013,15 - 24 Years,Per Cent,34.5
2014,15 - 24 Years,Per Cent,35.4
2015,15 - 24 Years,Per Cent,39.8
2016,15 - 24 Years,Per Cent,37.7
2017,15 - 24 Years,Per Cent,35.7
2018,15 - 24 Years,Per Cent,36.9
2019,15 - 24 Years,Per Cent,37.9
2020,15 - 24 Years,Per Cent,35.4
2021,15 - 24 Years,Per Cent,42.3
2022,15 - 24 Years,Per Cent,35.1
2023,15 - 24 Years,Per Cent,36.2
2024,15 - 24 Years,Per Cent,31
2025,15 - 24 Years,Per Cent,32.9
2000,25 - 64 Years,Per Cent,58.7
2001,25 - 64 Years,Per Cent,60.6
2002,25 - 64 Years,Per Cent,60
2003,25 - 64 Years,Per Cent,60.8
2004,25 - 64 Years,Per Cent,61.6
2005,25 - 64 Years,Per Cent,63
2006,25 - 64 Years,Per Cent,65.3
2007,25 - 64 Years,Per Cent,66
2008,25 - 64 Years,Per Cent,67.4
2009,25 - 64 Years,Per Cent,67.6
2010,25 - 64 Years,Per Cent,68.4
2011,25 - 64 Years,Per Cent,69.9
2012,25 - 64 Years,Per Cent,70.9
2013,25 - 64 Years,Per Cent,71.7
2014,25 - 64 Years,Per Cent,73
2015,25 - 64 Years,Per Cent,74.1
2016,25 - 64 Years,Per Cent,74.9
2017,25 - 64 Years,Per Cent,75.1
2018,25 - 64 Years,Per Cent,74.8
2019,25 - 64 Years,Per Cent,76.1
2020,25 - 64 Years,Per Cent,76.6
2021,25 - 64 Years,Per Cent,78.6
2022,25 - 64 Years,Per Cent,78.9
2023,25 - 64 Years,Per Cent,79
2024,25 - 64 Years,Per Cent,80.7
2025,25 - 64 Years,Per Cent,80.5
