period,series,unit,value
2007,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,2.7
2008,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.7
2009,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,4.8
2010,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.8
2011,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.2
2012,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.5
2013,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.5
2014,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,2.7
2015,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3
2016,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.3
2017,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.9
2018,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.4
2019,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.6
2020,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,5
2021,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,4.6
2022,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.5
2023,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.3
2024,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.4
2025,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3
1992,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,1.5
1993,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,1.7
1994,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2
1995,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,1.9
1996,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,1.7
1997,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,1.8
1998,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.9
1999,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.6
2000,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.4
2001,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.4
2002,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,4.1
2003,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,4.7
2004,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,4.2
2005,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.2
2006,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.2
2007,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.9
2008,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.8
2009,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.9
2010,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.9
2011,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.7
2012,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.8
2013,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.7
2014,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.9
2015,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.9
2016,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.1
2017,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.2
2018,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.1
2019,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.3
2020,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,4.6
2021,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,4
2022,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3
2023,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,2.8
2024,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3.1
2025,Highest Qualification Attained: Diploma & Professional Qualification,Per Cent,3
1992,Highest Qualification Attained: Degree,Per Cent,2.2
1993,Highest Qualification Attained: Degree,Per Cent,2.3
1994,Highest Qualification Attained: Degree,Per Cent,2.6
1995,Highest Qualification Attained: Degree,Per Cent,2.1
1996,Highest Qualification Attained: Degree,Per Cent,2.6
1997,Highest Qualification Attained: Degree,Per Cent,1.7
1998,Highest Qualification Attained: Degree,Per Cent,2.8
1999,Highest Qualification Attained: Degree,Per Cent,3.1
2000,Highest Qualification Attained: Degree,Per Cent,2.6
2001,Highest Qualification Attained: Degree,Per Cent,2.9
2002,Highest Qualification Attained: Degree,Per Cent,4.1
2003,Highest Qualification Attained: Degree,Per Cent,4.4
2004,Highest Qualification Attained: Degree,Per Cent,3.6
2005,Highest Qualification Attained: Degree,Per Cent,3.1
2006,Highest Qualification Attained: Degree,Per Cent,2.8
2007,Highest Qualification Attained: Degree,Per Cent,2.4
2008,Highest Qualification Attained: Degree,Per Cent,2.7
2009,Highest Qualification Attained: Degree,Per Cent,3.6
2010,Highest Qualification Attained: Degree,Per Cent,2.8
2011,Highest Qualification Attained: Degree,Per Cent,2.6
2012,Highest Qualification Attained: Degree,Per Cent,2.7
2013,Highest Qualification Attained: Degree,Per Cent,2.8
2014,Highest Qualification Attained: Degree,Per Cent,2.9
2015,Highest Qualification Attained: Degree,Per Cent,2.8
2016,Highest Qualification Attained: Degree,Per Cent,3.1
2017,Highest Qualification Attained: Degree,Per Cent,3.2
2018,Highest Qualification Attained: Degree,Per Cent,2.9
2019,Highest Qualification Attained: Degree,Per Cent,2.9
2020,Highest Qualification Attained: Degree,Per Cent,3.5
2021,Highest Qualification Attained: Degree,Per Cent,3.1
2022,Highest Qualification Attained: Degree,Per Cent,2.7
2023,Highest Qualification Attained: Degree,Per Cent,2.7
2024,Highest Qualification Attained: Degree,Per Cent,2.7
2025,Highest Qualification Attained: Degree,Per Cent,2.9
