period,series,unit,value
2016,15 - 24 Years,Per Cent,0.6
2017,15 - 24 Years,Per Cent,0.8
2018,15 - 24 Years,Per Cent,0.6
2019,15 - 24 Years,Per Cent,0.7
2020,15 - 24 Years,Per Cent,1.1
2021,15 - 24 Years,Per Cent,1.2
2022,15 - 24 Years,Per Cent,0.5
2023,15 - 24 Years,Per Cent,0.6
2024,15 - 24 Years,Per Cent,0.8
1992,30 - 39 Years,Per Cent,0.3
1993,30 - 39 Years,Per Cent,0.3
1994,30 - 39 Years,Per Cent,0.3
1995,30 - 39 Years,Per Cent,0.2
1996,30 - 39 Years,Per Cent,0.3
1997,30 - 39 Years,Per Cent,0.2
1998,30 - 39 Years,Per Cent,0.7
1999,30 - 39 Years,Per Cent,0.9
2000,30 - 39 Years,Per Cent,na
2001,30 - 39 Years,Per Cent,0.7
2002,30 - 39 Years,Per Cent,1.2
2003,30 - 39 Years,Per Cent,1.2
2004,30 - 39 Years,Per Cent,0.9
2005,30 - 39 Years,Per Cent,0.7
2006,30 - 39 Years,Per Cent,0.5
2007,30 - 39 Years,Per Cent,0.4
2008,30 - 39 Years,Per Cent,0.4
2009,30 - 39 Years,Per Cent,0.8
2010,30 - 39 Years,Per Cent,0.4
2011,30 - 39 Years,Per Cent,0.5
2012,30 - 39 Years,Per Cent,0.5
2013,30 - 39 Years,Per Cent,0.5
2014,30 - 39 Years,Per Cent,0.4
2015,30 - 39 Years,Per Cent,0.5
2016,30 - 39 Years,Per Cent,0.6
2017,30 - 39 Years,Per Cent,0.5
2018,30 - 39 Years,Per Cent,0.6
2019,30 - 39 Years,Per Cent,0.4
2020,30 - 39 Years,Per Cent,0.6
2021,30 - 39 Years,Per Cent,0.7
2022,30 - 39 Years,Per Cent,0.4
2023,30 - 39 Years,Per Cent,0.5
2024,30 - 39 Years,Per Cent,0.6
1992,40 Years & Over,Per Cent,0.3
1993,40 Years & Over,Per Cent,0.3
1994,40 Years & Over,Per Cent,0.4
1995,40 Years & Over,Per Cent,0.3
1996,40 Years & Over,Per Cent,0.4
1997,40 Years & Over,Per Cent,0.4
1998,40 Years & Over,Per Cent,0.9
1999,40 Years & Over,Per Cent,1.4
2000,40 Years & Over,Per Cent,na
2001,40 Years & Over,Per Cent,1.1
2002,40 Years & Over,Per Cent,1.6
2003,40 Years & Over,Per Cent,1.7
2004,40 Years & Over,Per Cent,1.6
2005,40 Years & Over,Per Cent,1.4
2006,40 Years & Over,Per Cent,0.9
2007,40 Years & Over,Per Cent,0.7
2008,40 Years & Over,Per Cent,0.6
2009,40 Years & Over,Per Cent,1.1
2010,40 Years & Over,Per Cent,0.8
2011,40 Years & Over,Per Cent,0.7
2012,40 Years & Over,Per Cent,0.7
2013,40 Years & Over,Per Cent,0.7
2014,40 Years & Over,Per Cent,0.6
2015,40 Years & Over,Per Cent,0.7
2016,40 Years & Over,Per Cent,0.9
2017,40 Years & Over,Per Cent,0.9
2018,40 Years & Over,Per Cent,0.8
2019,40 Years & Over,Per Cent,0.8
2020,40 Years & Over,Per Cent,1
2021,40 Years & Over,Per Cent,1.2
2022,40 Years & Over,Per Cent,0.8
2023,40 Years & Over,Per Cent,0.7
2024,40 Years & Over,Per Cent,0.8
1992,40 - 49 Years,Per Cent,0.4
1993,40 - 49 Years,Per Cent,0.3
1994,40 - 49 Years,Per Cent,0.4
1995,40 - 49 Years,Per Cent,0.3
1996,40 - 49 Years,Per Cent,0.4
1997,40 - 49 Years,Per Cent,0.4
1998,40 - 49 Years,Per Cent,0.9
1999,40 - 49 Years,Per Cent,1.4
2000,40 - 49 Years,Per Cent,na
2001,40 - 49 Years,Per Cent,1
2002,40 - 49 Years,Per Cent,1.6
2003,40 - 49 Years,Per Cent,1.7
2004,40 - 49 Years,Per Cent,1.4
2005,40 - 49 Years,Per Cent,1.1
2006,40 - 49 Years,Per Cent,0.7
2007,40 - 49 Years,Per Cent,0.5
2008,40 - 49 Years,Per Cent,0.6
2009,40 - 49 Years,Per Cent,1
2010,40 - 49 Years,Per Cent,0.7
2011,40 - 49 Years,Per Cent,0.6
2012,40 - 49 Years,Per Cent,0.6
2013,40 - 49 Years,Per Cent,0.7
2014,40 - 49 Years,Per Cent,0.5
2015,40 - 49 Years,Per Cent,0.7
2016,40 - 49 Years,Per Cent,0.8
2017,40 - 49 Years,Per Cent,0.9
2018,40 - 49 Years,Per Cent,0.7
2019,40 - 49 Years,Per Cent,0.7
2020,40 - 49 Years,Per Cent,1
2021,40 - 49 Years,Per Cent,1
2022,40 - 49 Years,Per Cent,0.6
2023,40 - 49 Years,Per Cent,0.6
2024,40 - 49 Years,Per Cent,0.7
1992,50 Years & Over,Per Cent,0.3
1993,50 Years & Over,Per Cent,0.4
1994,50 Years & Over,Per Cent,0.3
1995,50 Years & Over,Per Cent,0.4
1996,50 Years & Over,Per Cent,0.5
1997,50 Years & Over,Per Cent,0.4
1998,50 Years & Over,Per Cent,0.9
1999,50 Years & Over,Per Cent,1.5
2000,50 Years & Over,Per Cent,na
2001,50 Years & Over,Per Cent,1.3
2002,50 Years & Over,Per Cent,1.6
2003,50 Years & Over,Per Cent,1.7
2004,50 Years & Over,Per Cent,1.9
2005,50 Years & Over,Per Cent,1.7
2006,50 Years & Over,Per Cent,1.1
2007,50 Years & Over,Per Cent,0.8
2008,50 Years & Over,Per Cent,0.7
2009,50 Years & Over,Per Cent,1.1
