age_2,outcome_connection_num,outcome_future_num,support_immedfam_num,support_friends_num
16-19 years old,7.611940298507463,7.5111940298507465,8.395522388059701,8.294776119402986
20-24 years old,7.454976303317536,7.170616113744076,8.255924170616113,7.630331753554502
25-34 years old,7.474609375,7.296875,8.419921875,7.6328125
35-44 years old,7.6138059701492535,7.347014925373134,8.242537313432836,7.1716417910447765
45-54 years old,7.680733944954128,7.3137614678899086,8.264220183486238,6.908256880733945
55-64 years old,7.708487084870849,6.937269372693727,7.977859778597786,6.378228782287823
65-75 years old,8.064935064935066,6.987012987012987,7.887445887445887,6.324675324675325
