period,series,unit,value,month
1961 Jan,All Items,Index,21.071,1961-01-01
1961 Feb,All Items,Index,21.094,1961-02-01
1961 Mar,All Items,Index,21.112,1961-03-01
1961 Apr,All Items,Index,20.77,1961-04-01
1961 May,All Items,Index,20.655,1961-05-01
1961 Jun,All Items,Index,20.801,1961-06-01
1961 Jul,All Items,Index,20.847,1961-07-01
1961 Aug,All Items,Index,21.054,1961-08-01
1961 Sep,All Items,Index,20.948,1961-09-01
1961 Oct,All Items,Index,21.007,1961-10-01
1961 Nov,All Items,Index,21.057,1961-11-01
1961 Dec,All Items,Index,21.024,1961-12-01
1962 Jan,All Items,Index,21.157,1962-01-01
1962 Feb,All Items,Index,21.277,1962-02-01
1962 Mar,All Items,Index,20.972,1962-03-01
1962 Apr,All Items,Index,20.868,1962-04-01
1962 May,All Items,Index,20.884,1962-05-01
1962 Jun,All Items,Index,20.98,1962-06-01
1962 Jul,All Items,Index,21.029,1962-07-01
1962 Aug,All Items,Index,20.966,1962-08-01
1962 Sep,All Items,Index,21.056,1962-09-01
1962 Oct,All Items,Index,21.009,1962-10-01
1962 Nov,All Items,Index,21.145,1962-11-01
1962 Dec,All Items,Index,21.205,1962-12-01
1963 Jan,All Items,Index,21.613,1963-01-01
1963 Feb,All Items,Index,21.771,1963-02-01
1963 Mar,All Items,Index,21.361,1963-03-01
1963 Apr,All Items,Index,21.148,1963-04-01
1963 May,All Items,Index,21.255,1963-05-01
1963 Jun,All Items,Index,21.321,1963-06-01
1963 Jul,All Items,Index,21.263,1963-07-01
1963 Aug,All Items,Index,21.315,1963-08-01
1963 Sep,All Items,Index,21.409,1963-09-01
1963 Oct,All Items,Index,21.917,1963-10-01
1963 Nov,All Items,Index,21.757,1963-11-01
1963 Dec,All Items,Index,21.798,1963-12-01
1964 Jan,All Items,Index,21.93,1964-01-01
1964 Feb,All Items,Index,22.012,1964-02-01
1964 Mar,All Items,Index,21.933,1964-03-01
1964 Apr,All Items,Index,21.639,1964-04-01
1964 May,All Items,Index,21.648,1964-05-01
1964 Jun,All Items,Index,21.583,1964-06-01
1964 Jul,All Items,Index,21.685,1964-07-01
1964 Aug,All Items,Index,22.044,1964-08-01
1964 Sep,All Items,Index,21.985,1964-09-01
1964 Oct,All Items,Index,21.844,1964-10-01
1964 Nov,All Items,Index,21.831,1964-11-01
1964 Dec,All Items,Index,22.046,1964-12-01
1965 Jan,All Items,Index,22.099,1965-01-01
1965 Feb,All Items,Index,22.03,1965-02-01
1965 Mar,All Items,Index,21.887,1965-03-01
1965 Apr,All Items,Index,21.567,1965-04-01
1965 May,All Items,Index,21.737,1965-05-01
1965 Jun,All Items,Index,21.815,1965-06-01
1965 Jul,All Items,Index,21.681,1965-07-01
1965 Aug,All Items,Index,21.814,1965-08-01
1965 Sep,All Items,Index,21.884,1965-09-01
1965 Oct,All Items,Index,21.943,1965-10-01
1965 Nov,All Items,Index,22.098,1965-11-01
1965 Dec,All Items,Index,22.263,1965-12-01
1966 Jan,All Items,Index,22.534,1966-01-01
1966 Feb,All Items,Index,22.326,1966-02-01
1966 Mar,All Items,Index,22.148,1966-03-01
1966 Apr,All Items,Index,22.232,1966-04-01
1966 May,All Items,Index,22.187,1966-05-01
1966 Jun,All Items,Index,22.245,1966-06-01
1966 Jul,All Items,Index,22.331,1966-07-01
1966 Aug,All Items,Index,22.486,1966-08-01
1966 Sep,All Items,Index,22.352,1966-09-01
1966 Oct,All Items,Index,22.224,1966-10-01
1966 Nov,All Items,Index,22.471,1966-11-01
1966 Dec,All Items,Index,22.609,1966-12-01
1967 Jan,All Items,Index,22.92,1967-01-01
1967 Feb,All Items,Index,22.931,1967-02-01
1967 Mar,All Items,Index,22.807,1967-03-01
1967 Apr,All Items,Index,22.448,1967-04-01
1967 May,All Items,Index,22.653,1967-05-01
1967 Jun,All Items,Index,22.913,1967-06-01
1967 Jul,All Items,Index,23.226,1967-07-01
1967 Aug,All Items,Index,23.13,1967-08-01
1967 Sep,All Items,Index,23.317,1967-09-01
1967 Oct,All Items,Index,23.226,1967-10-01
1967 Nov,All Items,Index,23.449,1967-11-01
1967 Dec,All Items,Index,23.659,1967-12-01
1968 Jan,All Items,Index,23.681,1968-01-01
1968 Feb,All Items,Index,23.412,1968-02-01
1968 Mar,All Items,Index,23.327,1968-03-01
1968 Apr,All Items,Index,23.281,1968-04-01
1968 May,All Items,Index,23.024,1968-05-01
1968 Jun,All Items,Index,23.022,1968-06-01
1968 Jul,All Items,Index,23.138,1968-07-01
1968 Aug,All Items,Index,23.324,1968-08-01
1968 Sep,All Items,Index,23.188,1968-09-01
1968 Oct,All Items,Index,23.152,1968-10-01
1968 Nov,All Items,Index,23.101,1968-11-01
1968 Dec,All Items,Index,23.031,1968-12-01
1969 Jan,All Items,Index,23.062,1969-01-01
1969 Feb,All Items,Index,23.029,1969-02-01
1969 Mar,All Items,Index,23.159,1969-03-01
1969 Apr,All Items,Index,23.083,1969-04-01
1969 May,All Items,Index,23.309,1969-05-01
1969 Jun,All Items,Index,23.191,1969-06-01
1969 Jul,All Items,Index,23.112,1969-07-01
1969 Aug,All Items,Index,23.195,1969-08-01
1969 Sep,All Items,Index,23.232,1969-09-01
1969 Oct,All Items,Index,23.061,1969-10-01
1969 Nov,All Items,Index,23.297,1969-11-01
1969 Dec,All Items,Index,23.619,1969-12-01
1970 Jan,All Items,Index,23.287,1970-01-01
1970 Feb,All Items,Index,23.386,1970-02-01
1970 Mar,All Items,Index,23.102,1970-03-01
1970 Apr,All Items,Index,23.14,1970-04-01
1970 May,All Items,Index,23.155,1970-05-01
1970 Jun,All Items,Index,23.12,1970-06-01
1970 Jul,All Items,Index,23.349,1970-07-01
1970 Aug,All Items,Index,23.33,1970-08-01
1970 Sep,All Items,Index,23.291,1970-09-01
1970 Oct,All Items,Index,23.316,1970-10-01
1970 Nov,All Items,Index,23.263,1970-11-01
1970 Dec,All Items,Index,23.42,1970-12-01
1971 Jan,All Items,Index,24.111,1971-01-01
1971 Feb,All Items,Index,23.686,1971-02-01
1971 Mar,All Items,Index,23.575,1971-03-01
1971 Apr,All Items,Index,23.293,1971-04-01
1971 May,All Items,Index,23.541,1971-05-01
1971 Jun,All Items,Index,23.608,1971-06-01
1971 Jul,All Items,Index,23.729,1971-07-01
1971 Aug,All Items,Index,23.615,1971-08-01
1971 Sep,All Items,Index,23.796,1971-09-01
1971 Oct,All Items,Index,23.654,1971-10-01
1971 Nov,All Items,Index,23.787,1971-11-01
1971 Dec,All Items,Index,24.003,1971-12-01
1972 Jan,All Items,Index,24.035,1972-01-01
1972 Feb,All Items,Index,24.026,1972-02-01
1972 Mar,All Items,Index,23.981,1972-03-01
1972 Apr,All Items,Index,23.704,1972-04-01
1972 May,All Items,Index,23.798,1972-05-01
1972 Jun,All Items,Index,23.881,1972-06-01
1972 Jul,All Items,Index,24.025,1972-07-01
1972 Aug,All Items,Index,24.237,1972-08-01
1972 Sep,All Items,Index,24.409,1972-09-01
1972 Oct,All Items,Index,24.372,1972-10-01
1972 Nov,All Items,Index,24.61,1972-11-01
1972 Dec,All Items,Index,25.412,1972-12-01
1973 Jan,All Items,Index,25.338,1973-01-01
1973 Feb,All Items,Index,26.214,1973-02-01
1973 Mar,All Items,Index,26.316,1973-03-01
1973 Apr,All Items,Index,26.486,1973-04-01
1973 May,All Items,Index,27.663,1973-05-01
1973 Jun,All Items,Index,28.59,1973-06-01
1973 Jul,All Items,Index,29.95,1973-07-01
1973 Aug,All Items,Index,30.29,1973-08-01
1973 Sep,All Items,Index,30.296,1973-09-01
1973 Oct,All Items,Index,31.328,1973-10-01
1973 Nov,All Items,Index,32.677,1973-11-01
1973 Dec,All Items,Index,32.33,1973-12-01
1974 Jan,All Items,Index,33.738,1974-01-01
1974 Feb,All Items,Index,34.728,1974-02-01
1974 Mar,All Items,Index,35.333,1974-03-01
1974 Apr,All Items,Index,34.94,1974-04-01
1974 May,All Items,Index,34.964,1974-05-01
1974 Jun,All Items,Index,35.098,1974-06-01
1974 Jul,All Items,Index,35.372,1974-07-01
1974 Aug,All Items,Index,35.612,1974-08-01
1974 Sep,All Items,Index,35.992,1974-09-01
1974 Oct,All Items,Index,36.326,1974-10-01
1974 Nov,All Items,Index,36.407,1974-11-01
1974 Dec,All Items,Index,36.683,1974-12-01
1975 Jan,All Items,Index,36.846,1975-01-01
1975 Feb,All Items,Index,36.919,1975-02-01
1975 Mar,All Items,Index,36.215,1975-03-01
1975 Apr,All Items,Index,35.968,1975-04-01
1975 May,All Items,Index,36.11,1975-05-01
1975 Jun,All Items,Index,36.213,1975-06-01
1975 Jul,All Items,Index,36.31,1975-07-01
1975 Aug,All Items,Index,36.461,1975-08-01
1975 Sep,All Items,Index,36.472,1975-09-01
1975 Oct,All Items,Index,36.114,1975-10-01
1975 Nov,All Items,Index,36.187,1975-11-01
1975 Dec,All Items,Index,36.339,1975-12-01
1976 Jan,All Items,Index,36.327,1976-01-01
1976 Feb,All Items,Index,36.32,1976-02-01
1976 Mar,All Items,Index,35.856,1976-03-01
1976 Apr,All Items,Index,35.508,1976-04-01
1976 May,All Items,Index,35.651,1976-05-01
1976 Jun,All Items,Index,35.468,1976-06-01
1976 Jul,All Items,Index,35.442,1976-07-01
1976 Aug,All Items,Index,35.395,1976-08-01
1976 Sep,All Items,Index,35.331,1976-09-01
1976 Oct,All Items,Index,35.295,1976-10-01
1976 Nov,All Items,Index,35.504,1976-11-01
1976 Dec,All Items,Index,35.785,1976-12-01
1977 Jan,All Items,Index,36.258,1977-01-01
1977 Feb,All Items,Index,36.501,1977-02-01
1977 Mar,All Items,Index,36.255,1977-03-01
1977 Apr,All Items,Index,35.952,1977-04-01
1977 May,All Items,Index,36.239,1977-05-01
1977 Jun,All Items,Index,36.37,1977-06-01
1977 Jul,All Items,Index,36.739,1977-07-01
1977 Aug,All Items,Index,37.29,1977-08-01
1977 Sep,All Items,Index,37.532,1977-09-01
1977 Oct,All Items,Index,37.002,1977-10-01
1977 Nov,All Items,Index,37.311,1977-11-01
1977 Dec,All Items,Index,38.071,1977-12-01
1978 Jan,All Items,Index,37.844,1978-01-01
1978 Feb,All Items,Index,38.102,1978-02-01
1978 Mar,All Items,Index,37.594,1978-03-01
1978 Apr,All Items,Index,37.818,1978-04-01
1978 May,All Items,Index,37.948,1978-05-01
1978 Jun,All Items,Index,38.036,1978-06-01
1978 Jul,All Items,Index,38.493,1978-07-01
1978 Aug,All Items,Index,38.673,1978-08-01
1978 Sep,All Items,Index,38.738,1978-09-01
1978 Oct,All Items,Index,38.598,1978-10-01
1978 Nov,All Items,Index,38.826,1978-11-01
1978 Dec,All Items,Index,38.796,1978-12-01
1979 Jan,All Items,Index,38.822,1979-01-01
1979 Feb,All Items,Index,38.701,1979-02-01
1979 Mar,All Items,Index,38.578,1979-03-01
1979 Apr,All Items,Index,38.753,1979-04-01
1979 May,All Items,Index,39.034,1979-05-01
1979 Jun,All Items,Index,39.137,1979-06-01
1979 Jul,All Items,Index,39.624,1979-07-01
1979 Aug,All Items,Index,40.327,1979-08-01
1979 Sep,All Items,Index,40.963,1979-09-01
1979 Oct,All Items,Index,40.972,1979-10-01
1979 Nov,All Items,Index,41.324,1979-11-01
1979 Dec,All Items,Index,41.633,1979-12-01
1980 Jan,All Items,Index,41.68,1980-01-01
1980 Feb,All Items,Index,42.335,1980-02-01
1980 Mar,All Items,Index,42.787,1980-03-01
1980 Apr,All Items,Index,42.971,1980-04-01
1980 May,All Items,Index,42.948,1980-05-01
1980 Jun,All Items,Index,43.062,1980-06-01
1980 Jul,All Items,Index,43.437,1980-07-01
1980 Aug,All Items,Index,43.767,1980-08-01
1980 Sep,All Items,Index,43.659,1980-09-01
1980 Oct,All Items,Index,43.806,1980-10-01
1980 Nov,All Items,Index,44.093,1980-11-01
1980 Dec,All Items,Index,44.132,1980-12-01
1981 Jan,All Items,Index,44.264,1981-01-01
1981 Feb,All Items,Index,44.793,1981-02-01
1981 Mar,All Items,Index,44.894,1981-03-01
1981 Apr,All Items,Index,45.802,1981-04-01
1981 May,All Items,Index,46.39,1981-05-01
1981 Jun,All Items,Index,46.702,1981-06-01
1981 Jul,All Items,Index,47.404,1981-07-01
1981 Aug,All Items,Index,48.03,1981-08-01
1981 Sep,All Items,Index,47.944,1981-09-01
1981 Oct,All Items,Index,47.96,1981-10-01
1981 Nov,All Items,Index,48.28,1981-11-01
1981 Dec,All Items,Index,48.698,1981-12-01
1982 Jan,All Items,Index,49.177,1982-01-01
1982 Feb,All Items,Index,48.8,1982-02-01
1982 Mar,All Items,Index,48.28,1982-03-01
1982 Apr,All Items,Index,48.298,1982-04-01
1982 May,All Items,Index,48.327,1982-05-01
1982 Jun,All Items,Index,48.455,1982-06-01
1982 Jul,All Items,Index,48.326,1982-07-01
1982 Aug,All Items,Index,48.527,1982-08-01
1982 Sep,All Items,Index,48.606,1982-09-01
1982 Oct,All Items,Index,48.475,1982-10-01
1982 Nov,All Items,Index,48.774,1982-11-01
1982 Dec,All Items,Index,49.1,1982-12-01
1983 Jan,All Items,Index,48.945,1983-01-01
1983 Feb,All Items,Index,49.044,1983-02-01
1983 Mar,All Items,Index,48.991,1983-03-01
1983 Apr,All Items,Index,48.926,1983-04-01
1983 May,All Items,Index,49.098,1983-05-01
1983 Jun,All Items,Index,48.784,1983-06-01
1983 Jul,All Items,Index,48.966,1983-07-01
1983 Aug,All Items,Index,49.001,1983-08-01
1983 Sep,All Items,Index,49.18,1983-09-01
1983 Oct,All Items,Index,49.075,1983-10-01
1983 Nov,All Items,Index,49.526,1983-11-01
1983 Dec,All Items,Index,49.661,1983-12-01
1984 Jan,All Items,Index,50.163,1984-01-01
1984 Feb,All Items,Index,50.825,1984-02-01
1984 Mar,All Items,Index,50.323,1984-03-01
1984 Apr,All Items,Index,50.327,1984-04-01
1984 May,All Items,Index,50.288,1984-05-01
1984 Jun,All Items,Index,50.427,1984-06-01
1984 Jul,All Items,Index,50.569,1984-07-01
1984 Aug,All Items,Index,50.689,1984-08-01
1984 Sep,All Items,Index,50.35,1984-09-01
1984 Oct,All Items,Index,50.325,1984-10-01
1984 Nov,All Items,Index,50.136,1984-11-01
1984 Dec,All Items,Index,50.114,1984-12-01
1985 Jan,All Items,Index,50.339,1985-01-01
1985 Feb,All Items,Index,50.589,1985-02-01
1985 Mar,All Items,Index,50.721,1985-03-01
1985 Apr,All Items,Index,50.623,1985-04-01
1985 May,All Items,Index,50.613,1985-05-01
1985 Jun,All Items,Index,50.741,1985-06-01
1985 Jul,All Items,Index,50.908,1985-07-01
1985 Aug,All Items,Index,50.967,1985-08-01
1985 Sep,All Items,Index,50.565,1985-09-01
1985 Oct,All Items,Index,50.555,1985-10-01
1985 Nov,All Items,Index,50.426,1985-11-01
1985 Dec,All Items,Index,50.459,1985-12-01
1986 Jan,All Items,Index,50.435,1986-01-01
1986 Feb,All Items,Index,50.302,1986-02-01
1986 Mar,All Items,Index,50.156,1986-03-01
1986 Apr,All Items,Index,49.903,1986-04-01
1986 May,All Items,Index,49.865,1986-05-01
1986 Jun,All Items,Index,49.791,1986-06-01
1986 Jul,All Items,Index,49.712,1986-07-01
1986 Aug,All Items,Index,49.691,1986-08-01
1986 Sep,All Items,Index,49.894,1986-09-01
1986 Oct,All Items,Index,49.88,1986-10-01
1986 Nov,All Items,Index,49.725,1986-11-01
1986 Dec,All Items,Index,49.763,1986-12-01
1987 Jan,All Items,Index,50.082,1987-01-01
1987 Feb,All Items,Index,49.768,1987-02-01
1987 Mar,All Items,Index,49.762,1987-03-01
1987 Apr,All Items,Index,49.939,1987-04-01
1987 May,All Items,Index,50.073,1987-05-01
1987 Jun,All Items,Index,50.103,1987-06-01
1987 Jul,All Items,Index,50.308,1987-07-01
1987 Aug,All Items,Index,50.37,1987-08-01
1987 Sep,All Items,Index,50.342,1987-09-01
1987 Oct,All Items,Index,50.328,1987-10-01
1987 Nov,All Items,Index,50.414,1987-11-01
1987 Dec,All Items,Index,50.522,1987-12-01
1988 Jan,All Items,Index,50.45,1988-01-01
1988 Feb,All Items,Index,50.838,1988-02-01
1988 Mar,All Items,Index,50.707,1988-03-01
1988 Apr,All Items,Index,50.722,1988-04-01
1988 May,All Items,Index,50.883,1988-05-01
1988 Jun,All Items,Index,50.827,1988-06-01
1988 Jul,All Items,Index,51.123,1988-07-01
1988 Aug,All Items,Index,51.103,1988-08-01
1988 Sep,All Items,Index,51.15,1988-09-01
1988 Oct,All Items,Index,51.038,1988-10-01
1988 Nov,All Items,Index,51.107,1988-11-01
1988 Dec,All Items,Index,51.233,1988-12-01
1989 Jan,All Items,Index,51.212,1989-01-01
1989 Feb,All Items,Index,51.347,1989-02-01
1989 Mar,All Items,Index,51.296,1989-03-01
1989 Apr,All Items,Index,51.591,1989-04-01
1989 May,All Items,Index,51.956,1989-05-01
1989 Jun,All Items,Index,52.192,1989-06-01
1989 Jul,All Items,Index,52.341,1989-07-01
1989 Aug,All Items,Index,52.405,1989-08-01
1989 Sep,All Items,Index,52.401,1989-09-01
1989 Oct,All Items,Index,52.666,1989-10-01
1989 Nov,All Items,Index,52.866,1989-11-01
1989 Dec,All Items,Index,52.93,1989-12-01
1990 Jan,All Items,Index,53.231,1990-01-01
1990 Feb,All Items,Index,53.335,1990-02-01
1990 Mar,All Items,Index,53.18,1990-03-01
1990 Apr,All Items,Index,53.478,1990-04-01
1990 May,All Items,Index,53.616,1990-05-01
1990 Jun,All Items,Index,53.69,1990-06-01
1990 Jul,All Items,Index,53.715,1990-07-01
1990 Aug,All Items,Index,53.906,1990-08-01
1990 Sep,All Items,Index,54.274,1990-09-01
1990 Oct,All Items,Index,54.705,1990-10-01
1990 Nov,All Items,Index,54.691,1990-11-01
1990 Dec,All Items,Index,54.951,1990-12-01
1991 Jan,All Items,Index,55.008,1991-01-01
1991 Feb,All Items,Index,55.459,1991-02-01
1991 Mar,All Items,Index,55.192,1991-03-01
1991 Apr,All Items,Index,55.478,1991-04-01
1991 May,All Items,Index,55.658,1991-05-01
1991 Jun,All Items,Index,55.788,1991-06-01
1991 Jul,All Items,Index,55.862,1991-07-01
1991 Aug,All Items,Index,56.0,1991-08-01
1991 Sep,All Items,Index,55.969,1991-09-01
1991 Oct,All Items,Index,55.993,1991-10-01
1991 Nov,All Items,Index,56.083,1991-11-01
1991 Dec,All Items,Index,56.531,1991-12-01
1992 Jan,All Items,Index,56.531,1992-01-01
1992 Feb,All Items,Index,56.454,1992-02-01
1992 Mar,All Items,Index,56.355,1992-03-01
1992 Apr,All Items,Index,56.708,1992-04-01
1992 May,All Items,Index,57.002,1992-05-01
1992 Jun,All Items,Index,57.009,1992-06-01
1992 Jul,All Items,Index,57.254,1992-07-01
1992 Aug,All Items,Index,57.153,1992-08-01
1992 Sep,All Items,Index,57.192,1992-09-01
1992 Oct,All Items,Index,57.334,1992-10-01
1992 Nov,All Items,Index,57.496,1992-11-01
1992 Dec,All Items,Index,57.543,1992-12-01
1993 Jan,All Items,Index,57.984,1993-01-01
1993 Feb,All Items,Index,57.713,1993-02-01
1993 Mar,All Items,Index,57.854,1993-03-01
1993 Apr,All Items,Index,58.023,1993-04-01
1993 May,All Items,Index,58.184,1993-05-01
1993 Jun,All Items,Index,58.203,1993-06-01
1993 Jul,All Items,Index,58.481,1993-07-01
1993 Aug,All Items,Index,58.389,1993-08-01
1993 Sep,All Items,Index,58.42,1993-09-01
1993 Oct,All Items,Index,58.627,1993-10-01
1993 Nov,All Items,Index,58.811,1993-11-01
1993 Dec,All Items,Index,59.013,1993-12-01
1994 Jan,All Items,Index,59.311,1994-01-01
1994 Feb,All Items,Index,59.504,1994-02-01
1994 Mar,All Items,Index,59.206,1994-03-01
1994 Apr,All Items,Index,59.651,1994-04-01
1994 May,All Items,Index,59.953,1994-05-01
1994 Jun,All Items,Index,60.239,1994-06-01
1994 Jul,All Items,Index,60.354,1994-07-01
1994 Aug,All Items,Index,60.432,1994-08-01
1994 Sep,All Items,Index,60.455,1994-09-01
1994 Oct,All Items,Index,60.662,1994-10-01
1994 Nov,All Items,Index,60.885,1994-11-01
1994 Dec,All Items,Index,60.71,1994-12-01
1995 Jan,All Items,Index,60.841,1995-01-01
1995 Feb,All Items,Index,60.904,1995-02-01
1995 Mar,All Items,Index,60.717,1995-03-01
1995 Apr,All Items,Index,61.01,1995-04-01
1995 May,All Items,Index,61.245,1995-05-01
1995 Jun,All Items,Index,61.335,1995-06-01
1995 Jul,All Items,Index,61.239,1995-07-01
1995 Aug,All Items,Index,61.256,1995-08-01
1995 Sep,All Items,Index,61.259,1995-09-01
1995 Oct,All Items,Index,61.326,1995-10-01
1995 Nov,All Items,Index,61.45,1995-11-01
1995 Dec,All Items,Index,61.221,1995-12-01
1996 Jan,All Items,Index,61.389,1996-01-01
1996 Feb,All Items,Index,61.893,1996-02-01
1996 Mar,All Items,Index,61.621,1996-03-01
1996 Apr,All Items,Index,61.689,1996-04-01
1996 May,All Items,Index,61.984,1996-05-01
1996 Jun,All Items,Index,62.046,1996-06-01
1996 Jul,All Items,Index,62.048,1996-07-01
1996 Aug,All Items,Index,62.135,1996-08-01
1996 Sep,All Items,Index,62.164,1996-09-01
1996 Oct,All Items,Index,62.181,1996-10-01
1996 Nov,All Items,Index,62.33,1996-11-01
1996 Dec,All Items,Index,62.444,1996-12-01
1997 Jan,All Items,Index,62.577,1997-01-01
1997 Feb,All Items,Index,62.897,1997-02-01
1997 Mar,All Items,Index,62.589,1997-03-01
1997 Apr,All Items,Index,62.877,1997-04-01
1997 May,All Items,Index,63.006,1997-05-01
1997 Jun,All Items,Index,63.117,1997-06-01
1997 Jul,All Items,Index,63.363,1997-07-01
1997 Aug,All Items,Index,63.58,1997-08-01
1997 Sep,All Items,Index,63.712,1997-09-01
1997 Oct,All Items,Index,63.744,1997-10-01
1997 Nov,All Items,Index,63.789,1997-11-01
1997 Dec,All Items,Index,63.723,1997-12-01
1998 Jan,All Items,Index,63.527,1998-01-01
1998 Feb,All Items,Index,63.486,1998-02-01
1998 Mar,All Items,Index,63.159,1998-03-01
1998 Apr,All Items,Index,63.195,1998-04-01
1998 May,All Items,Index,63.047,1998-05-01
1998 Jun,All Items,Index,62.995,1998-06-01
1998 Jul,All Items,Index,63.06,1998-07-01
1998 Aug,All Items,Index,62.967,1998-08-01
1998 Sep,All Items,Index,62.907,1998-09-01
1998 Oct,All Items,Index,62.808,1998-10-01
1998 Nov,All Items,Index,62.952,1998-11-01
1998 Dec,All Items,Index,62.813,1998-12-01
1999 Jan,All Items,Index,62.944,1999-01-01
1999 Feb,All Items,Index,63.022,1999-02-01
1999 Mar,All Items,Index,62.831,1999-03-01
1999 Apr,All Items,Index,62.994,1999-04-01
1999 May,All Items,Index,63.138,1999-05-01
1999 Jun,All Items,Index,63.075,1999-06-01
1999 Jul,All Items,Index,63.163,1999-07-01
1999 Aug,All Items,Index,63.202,1999-08-01
1999 Sep,All Items,Index,63.178,1999-09-01
1999 Oct,All Items,Index,63.131,1999-10-01
1999 Nov,All Items,Index,63.177,1999-11-01
1999 Dec,All Items,Index,63.239,1999-12-01
2000 Jan,All Items,Index,63.518,2000-01-01
2000 Feb,All Items,Index,63.82,2000-02-01
2000 Mar,All Items,Index,63.602,2000-03-01
2000 Apr,All Items,Index,63.693,2000-04-01
2000 May,All Items,Index,63.464,2000-05-01
2000 Jun,All Items,Index,63.567,2000-06-01
2000 Jul,All Items,Index,63.892,2000-07-01
2000 Aug,All Items,Index,64.229,2000-08-01
2000 Sep,All Items,Index,64.244,2000-09-01
2000 Oct,All Items,Index,64.293,2000-10-01
2000 Nov,All Items,Index,64.435,2000-11-01
2000 Dec,All Items,Index,64.543,2000-12-01
2001 Jan,All Items,Index,64.782,2001-01-01
2001 Feb,All Items,Index,64.659,2001-02-01
2001 Mar,All Items,Index,64.775,2001-03-01
2001 Apr,All Items,Index,64.952,2001-04-01
2001 May,All Items,Index,64.69,2001-05-01
2001 Jun,All Items,Index,64.336,2001-06-01
2001 Jul,All Items,Index,64.722,2001-07-01
2001 Aug,All Items,Index,64.684,2001-08-01
2001 Sep,All Items,Index,64.594,2001-09-01
2001 Oct,All Items,Index,64.432,2001-10-01
2001 Nov,All Items,Index,64.296,2001-11-01
2001 Dec,All Items,Index,64.163,2001-12-01
2002 Jan,All Items,Index,64.069,2002-01-01
2002 Feb,All Items,Index,64.259,2002-02-01
2002 Mar,All Items,Index,64.198,2002-03-01
2002 Apr,All Items,Index,64.267,2002-04-01
2002 May,All Items,Index,64.467,2002-05-01
2002 Jun,All Items,Index,64.427,2002-06-01
2002 Jul,All Items,Index,64.448,2002-07-01
2002 Aug,All Items,Index,64.401,2002-08-01
2002 Sep,All Items,Index,64.321,2002-09-01
2002 Oct,All Items,Index,64.303,2002-10-01
2002 Nov,All Items,Index,64.446,2002-11-01
2002 Dec,All Items,Index,64.443,2002-12-01
2003 Jan,All Items,Index,64.629,2003-01-01
2003 Feb,All Items,Index,64.511,2003-02-01
2003 Mar,All Items,Index,64.69,2003-03-01
2003 Apr,All Items,Index,64.822,2003-04-01
2003 May,All Items,Index,64.411,2003-05-01
2003 Jun,All Items,Index,64.219,2003-06-01
2003 Jul,All Items,Index,64.62,2003-07-01
2003 Aug,All Items,Index,64.696,2003-08-01
2003 Sep,All Items,Index,64.764,2003-09-01
2003 Oct,All Items,Index,64.719,2003-10-01
2003 Nov,All Items,Index,64.807,2003-11-01
2003 Dec,All Items,Index,64.924,2003-12-01
2004 Jan,All Items,Index,65.065,2004-01-01
2004 Feb,All Items,Index,65.814,2004-02-01
2004 Mar,All Items,Index,65.33,2004-03-01
2004 Apr,All Items,Index,65.77,2004-04-01
2004 May,All Items,Index,65.928,2004-05-01
2004 Jun,All Items,Index,65.413,2004-06-01
2004 Jul,All Items,Index,65.938,2004-07-01
2004 Aug,All Items,Index,65.853,2004-08-01
2004 Sep,All Items,Index,65.988,2004-09-01
2004 Oct,All Items,Index,65.964,2004-10-01
2004 Nov,All Items,Index,65.945,2004-11-01
2004 Dec,All Items,Index,65.775,2004-12-01
2005 Jan,All Items,Index,65.32,2005-01-01
2005 Feb,All Items,Index,65.801,2005-02-01
2005 Mar,All Items,Index,65.608,2005-03-01
2005 Apr,All Items,Index,66.013,2005-04-01
2005 May,All Items,Index,65.91,2005-05-01
2005 Jun,All Items,Index,65.308,2005-06-01
2005 Jul,All Items,Index,65.992,2005-07-01
2005 Aug,All Items,Index,66.304,2005-08-01
2005 Sep,All Items,Index,66.397,2005-09-01
2005 Oct,All Items,Index,66.668,2005-10-01
2005 Nov,All Items,Index,66.587,2005-11-01
2005 Dec,All Items,Index,66.609,2005-12-01
2006 Jan,All Items,Index,66.455,2006-01-01
2006 Feb,All Items,Index,66.587,2006-02-01
2006 Mar,All Items,Index,66.366,2006-03-01
2006 Apr,All Items,Index,66.728,2006-04-01
2006 May,All Items,Index,66.629,2006-05-01
2006 Jun,All Items,Index,66.209,2006-06-01
2006 Jul,All Items,Index,66.71,2006-07-01
2006 Aug,All Items,Index,66.747,2006-08-01
2006 Sep,All Items,Index,66.689,2006-09-01
2006 Oct,All Items,Index,66.95,2006-10-01
2006 Nov,All Items,Index,66.95,2006-11-01
2006 Dec,All Items,Index,67.15,2006-12-01
2007 Jan,All Items,Index,66.072,2007-01-01
2007 Feb,All Items,Index,66.566,2007-02-01
2007 Mar,All Items,Index,66.523,2007-03-01
2007 Apr,All Items,Index,67.035,2007-04-01
2007 May,All Items,Index,67.472,2007-05-01
2007 Jun,All Items,Index,67.34,2007-06-01
2007 Jul,All Items,Index,68.695,2007-07-01
2007 Aug,All Items,Index,69.051,2007-08-01
2007 Sep,All Items,Index,68.696,2007-09-01
2007 Oct,All Items,Index,69.671,2007-10-01
2007 Nov,All Items,Index,70.204,2007-11-01
